"word","count","prob"
"ngoa`",314699,0.0017259898635424897
"nguye^",313780,0.001720949540298388
"thuo]",305964,0.0016780821121418063
"pha?",298042,0.0016346333191714327
"quye^",296344,0.0016253205130033318
"vi.",293082,0.0016074298335449428
"chu?",290596,0.0015937951832894078
"bo[",289966,0.0015903399018489463
"co[",287458,0.001576584590971681
"co`",287369,0.0015760964639110443
"cu`",285769,0.0015673211459670152
"go]",285609,0.0015664436141726123
"so[",280922,0.0015407374171703223
"va{",280724,0.0015396514715747488
"mo[",279620,0.0015335965021933688
"ly'",278622,0.0015281228976257806
"ky`",276969,0.0015190568972748557
"ma.",272853,0.001496482391863841
"ne^",272774,0.0014960491105403546
"bo'",272773,0.0014960436259666397
"chuye^",272242,0.001493131317323965
"phi'",265082,0.0014538617695244351
"xa~",264179,0.001448909199459774
"qua?",263517,0.0014452784116604318
"ma}",255223,0.0013997893572680715
"he^",254708,0.0013969648018048373
"tri`",251438,0.001379030245756728
"ti?",250967,0.0013764470115369544
"be^",250113,0.001371763185584329
"thi'",245029,0.0013438796128171766
"ha}",244663,0.0013418722588374801
"ma'",233991,0.0012833408881508066
"phu+",232557,0.0012754760094434707
"u+",230347,0.0012633551015332806
"ye^",228815,0.0012549527346018728
"ta?",228241,0.0012518045892894523
"ra{",227667,0.001248656443977032
"sa?",225670,0.0012377037502681407
"bi`",225489,0.0012367110424257226
"ti`",224164,0.0012294439822533236
"tuye^",219024,0.0012012532733581304
"ba}",217853,0.001194830837537844
"giu+",217091,0.0011906515923670003
"thua}",216555,0.0011877118608557505
"phu.",214457,0.0011762052252016425
"tri.",211887,0.001162109870754046
"truye^",210799,0.0011561426545521063
"si~",210719,0.0011557038886549048
"hoa{",209697,0.0011500986543181563
"che^",207158,0.0011361733216557251
"lo]",204521,0.0011217105007692225
"my~",202907,0.0011128583987931831
"tha{",197876,0.001085265508432927
"ga}",196481,0.0010776145281004767
"a?",194571,0.001067138992304792
"du`",192569,0.0010561588757273257
"nha.",191716,0.0010514805343484154
"vi`",190691,0.0010458588462905218
"ngo]",189804,0.0010409940294053006
"vu.",188308,0.0010327891071276335
"hoa.",188201,0.0010322022577401266
"ta{",187568,0.0010287305225785202
"da`",186691,0.0010239205514304493
"se~",182990,0.001003622144111167
"ho'",181435,0.000995093631984314
"go.",180603,0.000990530466653419
"ro]",179150,0.0009825613810454975
"vu`",178803,0.0009806582339663863
"huye^",178689,0.0009800329925628742
"khoa?",176744,0.0009693654966871639
"mi`",176528,0.00096818082876472
"ha'",174407,0.0009565480479151665
"ba.",173849,0.0009534876557821864
"sa{",173440,0.000951244465132744
"sa}",167439,0.0009183315382689202
"ho`",167183,0.0009169274873978756
"ra}",165685,0.0009087115959727785
"nghi~",164417,0.0009017571565021355
"tri'",164359,0.0009014390512266644
"cho]",161052,0.0008833015659510994
"vo]",160910,0.0008825227564835669
"li.",160820,0.0008820291448492153
"to[",160715,0.0008814532646091383
"mu+",159490,0.0008747346618082412
"y'",155054,0.0008504050928084207
"toa`",155032,0.0008502844321866903
"mie^",154065,0.0008449808494042678
"di.",153756,0.0008432861161263271
"cho[",151919,0.0008332109542118389
"qua'",148606,0.0008150405614939839
"ha?",148232,0.000812989330924567
"xu+",146749,0.0008048557081051952
"nghe^",144885,0.0007946324627004014
"thi`",144732,0.0007937933229220036
"lua}",143871,0.000789071104953373
"no[",134212,0.0007360956074400129
"nho?",133124,0.0007301283912380732
"pho`",130292,0.0007145960784771418
"mu.",129706,0.0007113821182801412
"tra'",129040,0.0007077293921859391
"mu`",128193,0.0007030839582493188
"tro.",126969,0.0006963708400221366
"phu?",125802,0.0006899703424967105
"nie^",125418,0.0006878642661901435
"xa}",121688,0.0006674068062331259
"la~",120833,0.0006627174957067854
"vu~",120103,0.0006587137568948221
"ki'",117422,0.0006440096147648586
"nho'",116902,0.0006411576364330491
"u?",116182,0.0006372087433582361
"ky?",116145,0.0006370058141307804
"ma~",116008,0.0006362544275318229
"cha{",114102,0.0006258008300309984
"vo`",110935,0.0006084311850755359
"phu'",110391,0.0006054475769745661
"da.",109814,0.0006022829779410006
"pho'",108449,0.0005947965348200009
"tuo]",107272,0.0005883411915574246
"tu.",105044,0.0005761215613203642
"khi'",104140,0.0005711635066819878
"tro`",103541,0.0005678782470266919
"xa'",102856,0.0005641213140319045
"ca{",100569,0.000551578093945658
"phie^",100132,0.0005491813352321951
"a{",99922,0.0005480295747520413
"bu+",98488,0.0005401646960447054
"ga{",97580,0.0005351847031114689
"thuye^",96737,0.0005305612074697085
"cu.",96278,0.0005280437881345153
"buo]",94535,0.0005184841761492387
"khie^",92977,0.0005099392103012404
"lu'",91980,0.0005044710903073673
"gio]",91580,0.0005022772608213601
"tua}",90137,0.000494363020950589
"kha}",88205,0.00048376682453317395
"pha.",86593,0.00047492569170456473
"bo?",86478,0.0004742949657273376
"gia`",85024,0.0004663203955457013
"nguo]",84718,0.00046464211598890574
"kha{",83657,0.00045882298327727146
"xe^",82950,0.00045494538966075364
"thu.",82152,0.0004505686998361692
"thu'",80727,0.00044275318229226835
"tro]",80087,0.0004392430551146568
"tra.",79987,0.00043869459774315494
"tru'",79504,0.0004360455486388012
"so'",78703,0.0004316524050930717
"ky'",77960,0.00042757736682281323
"nu'",77720,0.0004262610691312089
"i'",77477,0.00042492831771845943
"kho'",77379,0.0004243908294943877
"tra{",77045,0.0004225589818735716
"kho?",77036,0.00042250962071013645
"tru.",76895,0.0004217362958163189
"ngoa.",74446,0.00040830457478823953
"lu.",73743,0.00040444891946658177
"nga}",73423,0.00040269385587777596
"ru+",73307,0.00040205764532683384
"cho.",71094,0.00038992028369549877
"nghi.",70896,0.0003888343380999252
"nga{",70105,0.00038449604029134585
"ngo.",69872,0.0003832181346157466
"muo]",69371,0.0003804703631845225
"me^",68536,0.0003758907441324824
"la{",68255,0.0003743495789185623
"tha?",66798,0.0003663585550157809
"ga'",66717,0.00036591430454486443
"xo]",66360,0.0003639563117286029
"ti.",66006,0.0003620147726334865
"la'",65601,0.0003597935202789042
"cha.",65451,0.00035897083422165146
"ty?",65154,0.0003573419158282911
"phe'",64942,0.00035617918620070723
"nha{",64439,0.0003534204456220531
"giu'",64149,0.00035182991924469784
"ha~",63823,0.0003500419482136019
"ca`",63737,0.0003495702748741104
"do`",63673,0.0003492192621563492
"ky~",63273,0.000347025432670342
"tre?",62990,0.0003454732983089918
"to`",61705,0.00033842562108519353
"kho[",61521,0.0003374164595216302
"me.",60745,0.00033316043031877615
"mo.",60649,0.0003326339112421344
"tra?",59992,0.0003290305463113675
"bi'",59126,0.0003242809054741618
"na}",58859,0.00032281652429225194
"nho[",58657,0.0003217086404018183
"ke'",58300,0.00031975064758555684
"chua}",58009,0.0003181546366344866
"gie^",56533,0.0003100594058311198
"tu`",56510,0.00030993326063567437
"go'",55086,0.0003021232276654886
"u'",55074,0.00030205741278090836
"hua}",54955,0.0003014047485088212
"cu'",54538,0.00029911768126965864
"vi~",54441,0.0002985856776193019
"ro[",54434,0.00029854728560329674
"chi.",54090,0.0002966605922453305
"xuo]",53876,0.00029548689347031664
"rie^",53591,0.0002939237899615365
"gia}",52814,0.00028966227618496736
"ho?",52207,0.0002863331399399514
"ba~",51655,0.0002833056552492614
"nhi`",51613,0.0002830753031532306
"ki.",51476,0.00028232391655427314
"cho'",51262,0.00028115021777925923
